device_name,date,time,temp,humid,soil,soil_temp,salt,bat,batcharge,wifi_ssid,Gn
30c6f71d7da4,2023-01-18,00:11,9.6,75.0,63.0,4095.938,103.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,00:16,9.4,74.0,63.0,4095.938,102.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,00:21,9.4,75.0,64.0,4095.938,102.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,00:26,9.4,75.0,65.0,4095.938,102.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,00:31,9.4,76.0,64.0,4095.938,102.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,00:36,9.3,76.0,64.0,4095.938,102.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,00:42,9.3,76.0,65.0,4095.938,101.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,00:47,9.4,76.0,64.0,4095.938,101.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,00:52,9.4,77.0,64.0,4095.938,102.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,00:57,9.4,76.0,64.0,4095.938,100.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,01:03,9.4,76.0,64.0,4095.938,101.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,01:08,9.4,77.0,64.0,4095.938,101.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,01:13,9.4,77.0,65.0,4095.938,101.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,01:18,9.4,76.0,64.0,4095.938,100.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,01:24,9.4,76.0,64.0,4095.938,100.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,01:29,9.5,76.0,64.0,4095.938,101.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,01:34,9.3,77.0,64.0,4095.938,100.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,01:39,9.2,77.0,64.0,4095.938,100.0,100.0,charging,Fly in the sky 2.4g,1
